"stopid";"next_bus";"location_platform";"location_stop";"stop_name";"next_route"
2;1;0;0;"材料学院";"LINESTRING (121.428651150269999 31.025096508179999,121.428894950270006 31.024672815110002,121.428996450270006 31.02451501769,121.429228650270005 31.0241539236,121.429340950270003 31.02397922646,121.429655150269994 31.02349073445,121.429761750270004 31.023294037669999,121.429867650269998 31.023098540860001,121.429934050270006 31.022975942870001,121.430100350269996 31.022583949280001,121.430179850269994 31.022362452909999,121.430323350270001 31.022058357879999,121.430363150269997 31.021964559410002,121.430363150269997 31.021964559410002,121.430898650269995 31.022122056840001,121.430945150270006 31.022136656600001)"
3;1;0;0;"包玉刚图书馆";"LINESTRING (121.431493550270005 31.02632438809,121.431077050270005 31.026191290269999,121.430472950270001 31.02599829343,121.429849450269998 31.02579909668,121.429643050270002 31.025734197750001,121.428791350270004 31.025461002219998,121.428623350270001 31.025407303089999,121.428521150270001 31.025322404480001,121.428521150270001 31.025322404480001,121.428651150269999 31.025096508179999)"
4;1;0;0;"华联校园生活中心";"LINESTRING (121.430864650269996 31.028258656439998,121.430994750270003 31.027963161279999,121.430994750270003 31.027963161279999,121.430922350269995 31.027857563009999,121.431077050270005 31.027533568310002,121.431108650270005 31.027467869380001,121.431155550270006 31.027369171,121.431287750270002 31.027092575520001,121.43133805027 31.02698727724,121.431489450270007 31.026652682720002,121.431489450270007 31.026652682720002,121.431499050270006 31.026557284279999,121.431499050270006 31.026557284279999,121.431568350269998 31.026436386259999,121.431568350269998 31.026436386259999,121.431585450270006 31.02635668756,121.431585450270006 31.02635668756,121.431493550270005 31.02632438809)"
5;1;0;0;"第四餐饮大楼";"LINESTRING (121.42729655027 31.02862995037,121.427459150269996 31.028250756569999,121.427591050269996 31.0279434616,121.427591050269996 31.0279434616,121.427643750269993 31.027960361320002,121.428344450270004 31.02818485765,121.428366650269993 31.028192257530002,121.428492050269995 31.028232456870001,121.429026750269998 31.028411253950001,121.429762550269999 31.028651750009999,121.430574250269999 31.028917945660002,121.430574250269999 31.028917945660002,121.430744050269993 31.02853245196,121.430864650269996 31.028258656439998)"
6;1;0;0;"西区学生宿舍";"LINESTRING (121.429930550270001 31.030385121649999,121.429588550269997 31.030274823460001,121.429523850270002 31.0302539238,121.427688150270001 31.029659033529999,121.427047650269998 31.02945533686,121.426955050269996 31.029425537350001,121.426955050269996 31.029425537350001,121.426986950270006 31.029351238570001,121.427133850269996 31.029009044169999,121.42729655027 31.02862995037)"
7;1;0;0;"学生服务中心";"LINESTRING (121.433635250270001 31.031579902099999,121.433476050270002 31.03152860294,121.433407850270001 31.031506603299999,121.433309350269994 31.03147480382,121.430770450270003 31.03065601722,121.429930550270001 31.030385121649999)"
8;1;0;0;"文选医学楼";"LINESTRING (121.442693750269996 31.034430655449999,121.44255915027 31.034420555619999,121.442423750269995 31.034394556039999,121.442319450270006 31.034363856540001,121.442319450270006 31.034363856540001,121.44220705027 31.034327757140002,121.440994450269997 31.033937963509999,121.438572350269993 31.033159376259999,121.438502450269993 31.03313697662,121.438367150269997 31.033093477329999,121.438367150269997 31.033093477329999,121.438092050270001 31.033006178760001,121.438092050270001 31.033006178760001,121.437905750270005 31.03294667974,121.436830850269999 31.03260358535,121.436636650270003 31.032541586360001,121.436419750270005 31.032472287499999,121.435093050269998 31.032048794430001,121.435010550269993 31.032022494860001,121.434901650270007 31.031987695430001,121.434729350270004 31.031932696329999,121.433635250270001 31.031579902099999)"
9;1;0;0;"船建学院";"LINESTRING (121.445256050270004 31.034049361689998,121.445109850270001 31.034107960730001,121.444976450270005 31.034149260060001,121.444584550269994 31.03429285771,121.444306350269997 31.034365556520001,121.443981350269993 31.03443665535,121.443509150270003 31.034449055149999,121.443432950269994 31.03444885515,121.443177150270003 31.034458954990001,121.442693750269996 31.034430655449999)"
10;1;0;0;"东大门";"LINESTRING (121.447373750270003 31.03238448894,121.447297650270002 31.032499287059998,121.446891450270002 31.032988479050001,121.446802650270001 31.0330650778,121.446370350270001 31.033438271689999,121.445871250270002 31.033750466579999,121.445745850270001 31.0338289653,121.445531550270005 31.0339328636,121.445476550270001 31.0339574632,121.445402250270007 31.033990662650002,121.445256050270004 31.034049361689998)"
11;1;0;0;"机动学院";"LINESTRING (121.448555750270003 31.029838130600002,121.448512750269998 31.029939228949999,121.448333450269999 31.030348822240001,121.448305550270007 31.030412421200001,121.448013050270006 31.03108041027,121.447773350269998 31.031629801280001,121.447773350269998 31.031629801280001,121.447672650269993 31.031860397509998,121.447658950269997 31.031891397,121.447628050269998 31.031962495839998,121.447538750269999 31.032122993209999,121.447490350270002 31.032208691809998,121.447373750270003 31.03238448894)"
12;1;0;0;"南大门";"LINESTRING (121.446223950269996 31.026692982059998,121.448473950269999 31.02741017033,121.448473950269999 31.02741017033,121.448700050270006 31.027518468549999,121.448926050270003 31.02768266587,121.44907165027 31.027859962969998,121.449136850269994 31.028050359849999,121.449155950269997 31.02826705631,121.449155950269997 31.02826705631,121.449132950269998 31.028457553190002,121.449090850269997 31.028611850659999,121.449090850269997 31.028611850659999,121.448903650269997 31.02903974366,121.448724050270002 31.029446837,121.448691550269999 31.029524635729999,121.448652250270001 31.029612334300001,121.448555750270003 31.029838130600002)"
13;1;0;0;"电信学院";"LINESTRING (121.442719550269999 31.028781447890001,121.442824650269998 31.028657049930001,121.443093550270007 31.028415953869999,121.443529050270001 31.028131258529999,121.443823950270001 31.02799596074,121.444157450269998 31.02790386225,121.444451950269993 31.02788346258,121.444948650270007 31.027864862889999,121.444948650270007 31.027864862889999,121.44503565027 31.027893362419999,121.445070050270004 31.027904662240001,121.445070050270004 31.027904662240001,121.445107450270001 31.027816263679998,121.445234350269999 31.027516668579999,121.445234350269999 31.027516668579999,121.445338350270006 31.027271172599999,121.445338350270006 31.027271172599999,121.445586350270005 31.02668548218,121.445657950270004 31.026516284949999,121.445657950270004 31.026516284949999,121.445782450270002 31.026556084300001,121.445782450270002 31.026556084300001,121.445837550269999 31.026573584009999,121.445975050269993 31.026613683360001,121.446223950269996 31.026692982059998)"
14;1;0;0;"新行政楼";"LINESTRING (121.440888550270003 31.029803831159999,121.441040850269999 31.029852930360001,121.441073450269997 31.029863430190002,121.441980150269998 31.03015562541,121.442292950270001 31.030256423760001,121.442421150269993 31.03029772308,121.442421150269993 31.03029772308,121.442411050269996 31.030211124499999,121.442403950270005 31.030150025499999,121.442403950270005 31.030150025499999,121.442378450269999 31.02990462951,121.442378450269999 31.02990462951,121.442409650269994 31.029471536599999,121.442520450269996 31.0291292422,121.442719550269999 31.028781447890001)"
15;1;0;0;"图书信息楼";"LINESTRING (121.438706750270001 31.029098342699999,121.43931835027 31.02929203954,121.439397550270002 31.029317139130001,121.439490150270004 31.02934763863,121.439684550270002 31.02941183758,121.439684550270002 31.02941183758,121.440092850270005 31.029546535369999,121.440092850270005 31.029546535369999,121.440190350270001 31.029578734840001,121.440304350269997 31.029615534240001,121.440676450270004 31.029735432279999,121.440888550270003 31.029803831159999)"
16;1;0;0;"东中院";"LINESTRING (121.438554650270007 31.027018776729999,121.438335050269998 31.02752896838,121.437935250270002 31.028457953179998,121.437935250270002 31.028457953179998,121.437816050270001 31.02869764926,121.437816050270001 31.02869764926,121.437804150269997 31.028725048809999,121.437770750270005 31.028802047549998,121.437770750270005 31.028802047549998,121.437851850269993 31.028827647130001,121.438706750270001 31.029098342699999)"
17;1;0;0;"东上院";"LINESTRING (121.439353850269995 31.025161707110001,121.439054450270007 31.02585739573,121.439021950270003 31.02593309449,121.438657750269996 31.02677928065,121.438554650270007 31.027018776729999)"
18;1;0;0;"校医院";"LINESTRING (121.433789750269995 31.02302514206,121.435005350270004 31.02326713811,121.435237050270004 31.023318337269998,121.435469750270002 31.02338023626,121.436486050270005 31.02368653125,121.436931550270003 31.02380842925,121.437351950269999 31.023934427189999,121.438490550270004 31.0242758216,121.439507350270006 31.02459521638,121.439587450269997 31.024619015990002,121.439587450269997 31.024619015990002,121.439544050270001 31.024719814339999,121.43942535027 31.02499560983,121.439353850269995 31.025161707110001)"
19;1;0;0;"菁菁堂广场(终点站)";""
